Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
TFTV_LORE_ALISTAIR_TITLE,Text,,Alistair Ashby,,Alistair Ashby,,,,,,
TFTV_LORE_ALISTAIR_DESCRIPTION,Text,,"Sometimes Alistair thought that the transformative effect of the Pandoravirus on him could not have been greater had he actually been infected with it.

Alistair went from a youthful college-dropout influencer to a bona fide expert, all by taking the first Mist stories seriously, while the rest of the media still considered them fake news. He grasped the significance of what was happening earlier and better than anyone else. He anticipated the Third World War and its consequences, including the rise of the highly polarized and ideologically charged factions, and the demise of race, wealth, nationality and family prestige as relevant sociological factors.

“We are mistaken about the coming Apocalypse. It’s not about extinction or survival. It’s about our place in the new food chain.”

The Pandoravirus also brought Alistair into contact with the child prodigy Olena Kim. They ran into each other more than two decades ago and have been inseparable ever since, to the extent that Alistair now considers himself her oppa (older brother).

The connection - if any - between Alistair and Phoenix Project remains a mystery, but it seems like he knew Randolph Symes III personally.
",,"Parfois, Alistair se dit que l'effet transformateur du pandoravirus sur lui n'aurait pas pu être plus grand s'il avait été infecté. 

Alistair est passé du statut de jeune influenceur ayant abandonné ses études à celui d'expert de bonne foi, tout cela en prenant au sérieux les premières histoires de brume, alors que le reste des médias les considérait encore comme des "fake news" (fausses nouvelles). Il a saisi l'importance de ce qui se passait plus tôt et mieux que quiconque. Il a anticipé la troisième guerre mondiale et ses conséquences, notamment la montée des factions fortement polarisées et idéologiquement chargées, et la disparition de la race, de la richesse, de la nationalité et du prestige familial en tant que facteurs sociologiques pertinents.

""Nous nous trompons sur l'apocalypse à venir. Il ne s'agit pas d'extinction ou de survie. Il s'agit de notre place dans la nouvelle chaîne alimentaire.""

Le pandoravirus a également permis à Alistair d'entrer en contact avec l'enfant prodige Olena Kim. Ils se sont croisés il y a plus de vingt ans et sont inséparables depuis, au point qu'Alastair se considère aujourd'hui comme son oppa (grand'Pa).

Le lien - s'il existe - entre Alistair et le Projet Phoenix reste un mystère, mais il semble qu'il connaissait personnellement Randolph Symes III.
",,,,,,
TFTV_LORE_OLENA_TITLE,Text,,Olena Kim,,,,,,,,
TFTV_LORE_OLENA_DESCRIPTION,Text,,"Olena was born in Odesa to a Korean father and a Ukrainian mother, both renowned scholars in archaeology and anthropology. They traveled around the world with their daughter, exposing her to different cultures and languages. A prodigy, Olena bears the imprint of a program for the gifted: an alien within her own species.

