Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
KEY_FS_NJ_CRUISE_CONTROL_MODULE_DESCRIPTION,Text,,Extra crew and increased speed module,,Ajoute 4 emplacements d'équipage et augmente la vitesse,,,,,,
KEY_FS_NJ_CRUISE_CONTROL_MODULE_NAME,Text,,Quick Response Module,,Module de réponse rapide,,,,,,
KEY_FS_NJ_FUEL_TANK_MODULE_DESCRIPTION,Text,,Extra crew and increased range module,,Ajoute 4 emplacements d'équipage et augmente la portée,,,,,,
KEY_FS_NJ_FUEL_TANK_MODULE_NAME,Text,,Extended Range Module,,Module de portée étendue,,,,,,
KEY_FS_PX_ESCAPE_PODS_MODULE_NAME,Text,,Scylla Capture Module,,Module de capture de Scylla,,,,,,
KEY_FS_PX_ESCAPE_PODS_MODULE_DESCRIPTION,Text,,Passenger module that gives additional capture slots.,,Module de transport de passager qui donne des emplacements de capture supplémentaires.,,,,,,
KEY_DLC3_GEOBONUS_RECUPERATION,Text,,"Three additional capture slots, can capture Scylla",,"Trois emplacements de capture supplémentaires, peut capturer un Scylla",,,,,,
KEY_DLC3_GEOBONUS_STAMINA,Text,,Onboard personnel recovers Stamina and increases carrying capacity by four,,"Ajoute 4 emplacements d'équipage et le personnel à bord récupère l'endurance",,,,,,
KEY_FS_SYN_HYBERNATION_PODS_MODULE_DESCRIPTION,Text,,Extra Crew and Recuperation Module,,"Ajoute 4 emplacements d'équipage et permet la récupération",,,,,,
KEY_FS_SYN_HYBERNATION_PODS_MODULE_NAME,Text,,FAR-M,,FAR-M,,,,,,
KEY_LIVING_MACHINE_GUN_DESCRIPTION,Text,,Poison Firing Living Machine Gun,,Mitrailleuse vivante tirant du poison,,,,,,
KEY_LIVING_MACHINE_GUN_NAME,Text,,Malachi MG,,Malachie MG,,,,,,
KEY_LIVING_RIFLE_DESCRIPTION,Text,,Acid Firing Living Assault Rifle,,Fusil d'assaut vivant à tir à l'acide,,,,,,
KEY_LIVING_RIFLE_NAME,Text,,Burner AR,,Brûleur AR,,,,,,
KEY_BASE_FACILITY_FOOD_PRODUCTION_DESCRIPTION_TFTV,Text,,A food production facility that generates enough food for 8 soldiers each day. Allows rendering captured Pandorans for food after corresponding research.,,Une installation de production alimentaire qui génère suffisamment de nourriture pour 8 soldats chaque jour. Permet de transformer des Pandoriens capturés en nourriture après la recherche correspondante.,,,,,,
KEY_BASE_FACILITY_MUTATION_LAB_DESCRIPTION_TFTV,Text,,"Allows soldiers to be mutated, and produces mutagens from captured Pandorans - the raw material for mutation.",,Permet aux soldats d'être mutés et produit des mutagènes à partir des Pandoriens capturés - la matière première de la mutation.,,,,,,
KEY_BASE_FACILITY_ARCHEOLOGY_LAB_DESCRIPTION,Text,,The Archaeology Lab allows the construction of Archaeology Probes. You only need one Archaelogy Lab and there are no benefits to having more than that. Note that it does not generate regular research.,,Le Laboratoire d'Archéologie permet la construction de sondes archéologiques. Vous n’avez besoin que d’un seul laboratoire d’archéologie et il n’y a aucun avantage à en avoir plus. Notez qu’il ne génère pas de recherches régulières.,,,,,,
