Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
KEY_GEO_HINT_CUSTOMIZE_DESC,Text,,"Maybe it's time to introduce all these purple numbers and pibs!

Example: Margareta has 12 Willpower and 5 Delirium. Because she has 36 Stamina, and each 10 points in Stamina reduce effects of Delirium by 1, effect of Delirium on Margareta's Willpower is reduced by 3. Therefore she has 12-(5-3)=10 Willpower available.

1) This is character's actual Willpower. Number in <color=#A020F0>() in purple</color> means Willpower is being reduced by Delirium.
2) This shows the Delirium character has over the total Delirium character can have, depending on progress of Oneiric Delirium. At first, character may not have Delirium in excess of one third of their Willpower. By midgame this is increased to a half, and by late game there is no cap. <b>Pay attention to Oneiric Delirium events to learn when the cap is changed</b>.
3) Stamina is reducing effects of Delirium on Willpower: each <color=#A020F0><b> -</b></color> signifies that effect is reduced by 1. ",,"Il est peut-être temps de présenter tous ces nombres et pibs violets !

Exemple : Margareta a 12 volonté et 5 délire. Parce qu'elle a 36 Endurance, et que chaque 10 points d'Endurance réduit les effets du Délire de 1, l'effet du Délire sur la Volonté de Margareta est réduit de 3. Elle a donc 12-(5-3)=10 Volonté disponible.

1) Il s’agit de la volonté réelle du personnage. Le chiffre entre <color=#A020F0>() en violet</color> signifie que la volonté est réduite par le délire.
2) Cela montre le personnage de Delirium par rapport au total que le personnage de Delirium peut avoir, en fonction de la progression de Oneiric Delirium. Au début, le personnage ne peut pas avoir de délire dépassant un tiers de sa volonté. En milieu de partie, ce montant est augmenté de moitié et en fin de partie, il n'y a plus de plafond. <b>Faites attention aux événements de délire onirique pour savoir quand le plafond est changé</b>.
3) L'Endurance réduit les effets du Délire sur la Volonté : chaque <color=#A020F0><b> -</b></color> signifie que l'effet est réduit de 1.",,,,,,
KEY_GEO_HINT_CUSTOMIZE_TITLE,Text,,DELIRIUM,,DÉLIRIUM,,,,,,
KEY_GEO_HINT_PANDORAN_BASE_DIPLOMACY_EFFECTS_DESCRIPTION,Text,,"In TFTV, Factions will <b>not</b> react negatively to revealed Pandoran Colonies if you fail to destroy them. However, you will suffer a small penalty with the leaders of the nearby havens.

Each Pandoran colony contributes to Pandoran evolution: the more active Pandoran colonies there are, the faster the enemy will field more advanced units and the faster the Oneiric Delirium will grow. 

In addition, destroying a more advanced Pandoran colony (a Lair or a Citadel) removes the earliest <b>Void Omen</b> currently in play. (On Rookie difficulty, destroying Nests also removes Void Omens). ",,"Dans TFTV, les factions ne réagiront <b>pas</b> négativement aux colonies Pandoriennes révélées si vous ne parvenez pas à les détruire. Vous subirez cependant une petite pénalité auprès des dirigeants des refuges voisins.

Chaque colonie Pandorienne contribue à l'évolution Pandorienne : plus il y a de colonies Pandoriennes actives, plus vite l'ennemi alignera des unités plus avancées et plus vite le délire onirique se développera.

De plus, la destruction d'une colonie Pandorienne plus avancée (un repaire ou une citadelle) supprime le premier <b>Omen du Vide</b> actuellement en jeu. (En difficulté Rookie, la destruction des nids supprime également les présages du vide).",,,,,,
KEY_GEO_HINT_PANDORAN_BASE_DIPLOMACY_EFFECTS_TITLE,Text,,"PANDORAN COLONIES: DIPLOMACY, EVOLUTION AND VOID OMENS",,"COLONIES PANDORIENNES : DIPLOMATIE, ÉVOLUTION ET PRÉSAGES VIDES",,,,,,
KEY_GEO_HINT_MORE_AIRCRAFT_DESC,Text,,"In TFTV, all aircraft, except Anu Blimp, seat 4 less passengers than in Vanilla. To increase the space for units by 4, you need to equip your craft with one of the passenger modules. The starting Manticore comes with the FAR passenger module, which also (very slowly) recuperates the Stamina of all those on board. To manufacture additional FAR modules, you need to research the corresponding technology, which is unlocked after you research Phoenix Archives. There are two additional passenger modules that you may unlock in the course of the game.

Passenger modules cost half the resources and take half as much time to manufacture as a Manticore in Vanilla. The cost of all craft in the game has been, in turn, reduced by this amount. Therefore, a Manticore now costs only half the amount of resources and takes twice as fast to be manufactured.

The aircraft have a modular design, and you will want to use some of them for interception (and trading), and others for exploration (because of the risk of ambushes) and transporting operatives to tactical missions.",,"Dans TFTV, tous les avions, à l'exception d'Anu Blimp, peuvent accueillir 4 passagers de moins qu'à Vanilla. Pour augmenter par 4 l'espace des unités, vous devez équiper votre embarcation d'un des modules passagers. Le Manticore de départ est livré avec le module passager FAR, qui récupère également (très lentement) l'endurance de tous les passagers à bord. Pour fabriquer des modules FAR supplémentaires, vous devez rechercher la technologie correspondante, qui est déverrouillée après avoir recherché les archives Phoenix. Il existe deux modules passagers supplémentaires que vous pouvez débloquer au cours du jeu.

Les modules passagers coûtent deux fois moins de ressources et prennent deux fois moins de temps à fabriquer qu'une Manticore dans Vanilla. Le coût de tous les métiers du jeu a, à son tour, été réduit de ce montant. Par conséquent, une Manticore ne coûte désormais que la moitié de la quantité de ressources et est deux fois plus rapide à fabriquer.

Les avions ont une conception modulaire et vous souhaiterez en utiliser certains pour l'interception (et le commerce), et d'autres pour l'exploration (en raison du risque d'embuscade) et le transport d'agents vers des missions tactiques.",,,,,,
KEY_GEO_HINT_MORE_AIRCRAFT_TITLE,Text,,AIRCRAFT AND PASSENGER MODULES,,MODULES AÉRONEFS ET PASSAGERS,,,,,,
KEY_DLC3_TUT_SUPPLY_DESCRIPTION,Text,,"A Pandoran flyer has separated itself from the Festering Skies. It may come upon a haven and attack it. If the haven is not yet revealed, it will send an SOS disclosing its postion. 

Should the stray Pandoran flyer return to the swarm, the haven will be targeted by the Behemoth. Once a haven is targeted for attack, nothing can be done to prevent it: once the Behemoth reaches the haven, it will damage all its facilities and harvest about half of its population. 

Destroy Pandoran flyers to protect the havens, to colllect rewards from factions and to force the Behemoth to submerge.",,"Un volant Pandorien s'est séparé du Festering Skies. Il peut tomber sur un refuge et l'attaquer. Si le refuge n'est pas encore révélé, il enverra un SOS révélant sa position.

Si l'avion Pandoran égaré revient dans l'essaim, le refuge sera la cible du Behemoth. Une fois qu'un refuge est ciblé pour une attaque, rien ne peut être fait pour l'empêcher : une fois que le Behemoth atteint le refuge, il endommagera toutes ses installations et récoltera environ la moitié de sa population.

Détruisez les avions Pandoriens pour protéger les refuges, collecter les récompenses des factions et forcer le Behemoth à se submerger.",,,,,,
KEY_DLC3_TUT_SUPPLY_NAME,Text,,PANDORAN FLYER,,DÉPLIANT PANDORIEN,,,,,,
KEY_DLC3_TUT_BOMBARDMENT_DESCRIPTION,Text,,"A Pandoran flyer has separated itself from the Festering Skies. It may come upon a haven and attack it. If the haven is not yet revealed, it will send an SOS disclosing its postion. 

Should the stray Pandoran flyer return to the swarm, the haven will be targeted by the Behemoth. Once a haven is targeted for attack, nothing can be done to prevent it: once the Behemoth reaches the haven, it will damage all its facilities and harvest about half of its population. 

Destroy Pandoran flyers to protect the havens, to colllect rewards from factions and to force the Behemoth to submerge.",,"Un volant Pandorien s'est séparé du Festering Skies. Il peut tomber sur un refuge et l'attaquer. Si le refuge n'est pas encore révélé, il enverra un SOS révélant sa position.

Si l'avion Pandoran égaré revient dans l'essaim, le refuge sera la cible du Behemoth. Une fois qu'un refuge est ciblé pour une attaque, rien ne peut être fait pour l'empêcher : une fois que le Behemoth atteint le refuge, il endommagera toutes ses installations et récoltera environ la moitié de sa population.

Détruisez les avions Pandoriens pour protéger les refuges, collecter les récompenses des factions et forcer le Behemoth à se submerger.",,,,,,
KEY_DLC3_TUT_BOMBARDMENT_NAME,Text,,PANDORAN FLYER,,DÉPLIANT PANDORIEN,,,,,,
