Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
TFTV_ALL_OPTIONS_TITLE,Text,,SHOW ALL OPTIONS,,AFFICHER TOUTES LES OPTIONS,,,,,,
TFTV_ALL_OPTIONS_DESCRIPTION,Text,,Show all the options.,,Afficher toutes les options.,,,,,,
TFTV_SCAVENGING_OPTIONS_TITLE,Text,,SHOW SCAVENGING SITES OPTIONS (ON NEW GAME ONLY),,OPTIONS DES SITES DE RÉCUP. (NOUV. JEU UNIQUEMENT),,,,,,
TFTV_SCAVENGING_OPTIONS_DESCRIPTION,Text,,Show additional options for number and type of scavenging sites in game world.,,Afficher des options supplémentaires pour le nombre et le type de sites de récupération dans le monde.,,,,,,
TFTV_TACTICAL_OPTIONS_TITLE,Text,,SHOW OPTIONS FOR TACTICAL,,OPTIONS POUR TACTIQUE,,,,,,
TFTV_TACTICAL_OPTIONS_DESCRIPTION,Text,,Show additional options for the turn based Tactical part of the game.,,Afficher des options supplémentaires pour la partie tactique au tour par tour du jeu.,,,,,,
TFTV_GEOSCAPE_OPTIONS_TITLE,Text,,SHOW OPTIONS FOR GEOSCAPE,,OPTIONS POUR LE GEOSCAPE,,,,,,
TFTV_GEOSCAPE_OPTIONS_DESCRIPTION,Text,,Show additional options for the strategic (or Geoscape) part of the game.,,Afficher des options supplémentaires pour la partie stratégique (ou Geoscape) du jeu.,,,,,,
TFTV_MISC_OPTIONS_TITLE,Text,,SHOW OTHER OPTIONS,,AFFICHER LES AUTRES OPTIONS,,,,,,
TFTV_MISC_OPTIONS_DESCRIPTION,Text,,Show minor options and adjustments.,,Afficher les options et ajustements mineurs.,,,,,,
TFTV_ADDITIONAL_START_OPTIONS_TITLE,Text,,SHOW ADDITIONAL START OPTIONS,,OPTIONS DE DÉMARRAGE SUPPLÉMENTAIRES,,,,,,
TFTV_ADDITIONAL_START_DESCRIPTION,Text,,Show more options that can only be changed on starting a new game. ,,Afficher plus d'options qui ne peuvent être modifiées qu'au démarrage d'une nouvelle partie.,,,,,,
TFTV_ANYTIME_OPTIONS_TITLE,Text,,SHOW OPTIONS THAT CAN BE CHANGED ANYTIME,,OPTIONS POUVANT ÊTRE MODIFIÉES À TOUT MOMENT,,,,,,
TFTV_ANYTIME_OPTIONS_DESCRIPTION,Text,,Show options that can also be changed any time in the Mod config tab.,,Afficher les options qui peuvent également être modifiées à tout moment dans l'onglet de configuration du Mod.,,,,,,
TFTV_DIFFICULTY_ROOKIE_TITLE,Text,,STORY MODE,,MODE HISTOIRE,,,,,,
TFTV_DIFFICULTY_ROOKIE_DESCRIPTION,Text,,Life is hard enough already; games don't have to be. ,,La vie est déjà assez dure ; les jeux ne doivent pas nécessairement l’être.,,,,,,
TFTV_DIFFICULTY_ETERMES_TITLE,Text,,ETERMES,,ÉTERMES,,,,,,
TFTV_DIFFICULTY_ETERMES_DESCRIPTION,Text,,The pain! The horror! Open the floodgates of despair!,,La douleur! L'horreur! Ouvrez les vannes du désespoir !,,,,,,
