Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
VOID_OMEN_TITLE_1,Text,,"Ambushes more dangerous and more likely, but have more crates",,"Les embuscades sont plus dangereuses et plus fréquentes, mais il y a plus de caisses de stockage.",,,,,,
VOID_OMEN_TITLE_2,Text,,All diplomatic penalties and rewards halved,,Toutes les pénalités et récompenses diplomatiques sont réduites de moitié,,,,,,
VOID_OMEN_TITLE_3,Text,,"All abilities cost +50% WP, but Delirium has no effect on WP",,"Toutes les capacités coûtent +50 % de Volonté, mais le Délirium n'a aucun effet sur les Points de Volonté",,,,,,
VOID_OMEN_TITLE_4,Text,,"Max operatives that can be deployed reduced by 2, but +100% experience ",,"Le Nombre maximum d'agents pouvant être déployés est réduit de 2, mais ils bénéficient de +100 % d'expérience",,,,,,
VOID_OMEN_TITLE_5,Text,,"Haven defenders always hostile, but crates available for looting ",,"Les défenseurs des refuges sont toujours hostiles, mais des caisses sont disponibles pour le pillage. ",,,,,,
VOID_OMEN_TITLE_6,Text,,"Pandorans evolve as they lose missions and colonies, but Phoenix research output increased by 50%",,"Les Pandoriens évoluent d'autant qu'ils perdent des missions et des colonies, mais les résultats de la recherche de Phoenix ont augmenté de 50 %",,,,,,
VOID_OMEN_TITLE_7,Text,,"More Mist in missions, can deploy one more operative on standard missions",,"Plus de Brume dans les missions, mais on peut déployer un agent supplémentaire sur les missions standards",,,,,,
VOID_OMEN_TITLE_8,Text,,"Diplomatic penalties among factions +50%, but research by factions doubled",,"Pénalités diplomatiques entre factions augmentent de +50 %, mais la recherche des factions est doublée",,,,,,
VOID_OMEN_TITLE_9,Text,,Attacks on havens twice as frequent,,Les attaques contre les refuges sont deux fois plus fréquentes,,,,,,
VOID_OMEN_TITLE_10,Text,,"No limit to Delirium, regardless of ODI level",,"Aucune limite au Delirium, quel que soit le niveau de l'IDO",,,,,,
VOID_OMEN_TITLE_11,Text,,Behemoth disruption threshold increased,,Le seuil de perturbation du Béhémoth a été augmenté,,,,,,
