Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,,UI_Tester
PR_BC_MOUNTED_ITEMS_PROF,Text,,MOUNTED ITEM PROFICIENCY,,MAÎTRISE DES OBJETS MONTÉS,,,,ОБРАЩЕНИЕ С НЕЙРО-ИНТЕРФЕЙСОМ,,
PR_BC_MOUNTED_ITEMS_PROF_DESC,Text,,Proficiency with Robotic Arms and Mounted Weapons.,,Maîtrise des bras robotiques et des armes montées.,,,,Умение пользоваться механизированными манипуляторами техника и пусковыми установками,,
PR_BC_HANDGUN_ITEMS_PROF,Text,,MOUNTED ITEM PROFICIENCY,,MAÎTRISE DES PISTOLETS,,,,ОБРАЩЕНИЕ С НЕЙРО-ИНТЕРФЕЙСОМ,,
PR_BC_HANDGUN_ITEMS_PROF_DESC,Text,,Proficiency with Robotic Arms and Mounted Weapons.,,Maîtrise des pistolets et armes de poings.,,,,Умение пользоваться механизированными манипуляторами техника и пусковыми установками,,
PR_BC_STIMPACK_ITEM_DESC,Text,,A potent stimulant that regnerate body parts and instils Frenzy.,,Un puissant stimulant qui régénère les parties du corps et instille la frénésie.,,,,"Мощный стимулятор, который залечивает травмы и вводит цель в Буйство",,
PR_BC_STIMPACK_ABILITY_DESC,Text,,"Re-enables and restores 20 Hit Points on Body Parts, also instills Frenzy on target, increasing movement by 33% for 2 turns, with panic immunity.",,"Réactive et restaure 20 points de vie sur les parties du corps, instille également Frénésie sur la cible, augmentant le mouvement de 33 % pendant 2 tours, avec immunité à la panique.",,,,"Лечит 20 ОЗ поврежденным конечностям и восстанавливает их, также внушает Буйство, увеличивая скорость на 33% и дает иммунитет к панике на 2 хода",,
PR_BC_PSYCHIC_WARD_DESC,Text,,Allies within 10 tiles are immune to panic and psychic scream damage.,,Les alliés dans un rayon de 10 cases sont immunisés contre les dégâts de panique et de cri psychique.,,,,Союзники в радиусе 10 клеток иммунны к панике и психическому урону,,
PR_BC_POISON_STATUS_DESC,Text,,"At start of turn poison is subtracted from Hit Points and Willpoints reduced by 3, then poison value is reduced by 10. Poison causes trembling (-50% Accuracy).",,"Au début du tour, le poison est soustrait des points de vie et les points de volonté sont réduits de 3, puis la valeur du poison est réduite de 10. Le poison provoque des tremblements (-50% de précision).",,,,"В начале хода значение яда вычитается из ОЗ а воля уменьшается на 3, затем значение яда снижается на 10. Яд вызывает Трепет (-50% точности)",,
PR_BC_RECOVER_DESC,Text,,Recover Will Points equal to half Willpower. Divide any Viral damage by 2 and become immune to Panic for 1 turn. End the actor's current turn.,,Récupère des points de volonté égaux à la moitié de la volonté. Divise les dégâts viraux par 2 et immunise contre la panique pendant 1 tour. Termine le tour actuel du personnage.,,,,Восстанавливает Очки Воли равные половине максимальной Воли. Сокращает значение Вируса наполовину и дает иммунитет к панике на 1 ход. Заканчивает ход.,,
PR_BC_HIDDEN,Text,,UNREVEALED,,NON RÉVÉLÉ,,,,СПРЯТАН,,
PR_BC_HIDDEN_DESC,Text,,Indicates when the character is unrevealed and not spotted.,,Indique quand le personnage n'est pas révélé et n'est pas repéré.,,,,Персонаж не раскрыт и не замечен,,
PR_BC_INFILTRATOR_HIDDEN,Text,,HIDDEN: +25% stealth and completely undetected.,,CACHÉ : +25 % de furtivité et complètement indétectable.,,,,СПРЯТАН: +25% скрытности и полностью не замечен врагом,,
PR_BC_INFILTRATOR_LOCATED,Text,,"LOCATED: +25% stealth and still invisible, but enemies know the characters position and can target him.",,"LOCALISÉ : +25 % de furtivité et toujours invisible, mais les ennemis connaissent la position du personnage et peuvent le cibler.",,,,"УСЛЫШАН: +25% скрытности и все еще невидим, но враги знают ваше расположение и могут пытаться попасть по вам",,
PR_BC_INFILTRATOR_REVEALED,Text,,REVEALED: No Stealth bonus!,,RÉVÉLÉ : Pas de bonus de furtivité !,,,,РАСКРЫТ: Нет бонуса скрытности,,
PR_BC_BATTLE_FOCUS,Text,,BATTLE FOCUS,,AU COEUR DU COMBAT,,,,БОЕВАЯ КОНЦЕНТРАЦИЯ,,
PR_BC_BATTLE_FOCUS_DESC,Text,,If there are enemies within 10 tiles your attacks gain +20% damage,,"S'il y a des ennemis dans un rayon de 10 cases, vos attaques gagnent +20 % de dégâts",,,,"Если в 10 клетках от вас есть враги, ваши атаки наносят +20% урона",,
PR_BC_QUICK_AIM,Text,,QUICK AIM,,VISÉE RAPIDE,,,,Выстрел навскидку,,
PR_BC_QUICK_AIM_DESC,Text,,The action point cost of the next shot with proficient weapon is reduced by 1 with -30% accuracy. Limited to 2 uses per turn.,,Le coût en points d'action du prochain tir avec une arme maîtrisée est réduit de 1 avec une précision de -30 %. Limité à 2 utilisations par tour.,,,,"Следующий выстрел стоит -1 ОД, но имеет штраф к точности -30%. Два использования в ход.",,
PR_BC_KILL_N_RUN,Text,,KILL'N'RUN,,TUER ET COURIR,,,,УБЕЙ И БЕГИ,,
PR_BC_KILL_N_RUN_DESC,Text,,"Once per turn, take a free move after killing an enemy",,"Une fois par tour, permet de faire un mouvement gratuit après avoir tué un ennemi.",,,,"Если вы убили противника, то переместитесь на 7 клеток. Один раз в ход.",,
PR_BC_RAPID_CLEARANCE,Text,,RAPID CLEARANCE,,NETTOYAGE RAPIDE,,,,БЫСТРАЯ ЗАЧИСТКА,,
PR_BC_RAPID_CLEARANCE_DESC,Text,,"Until end of turn, after killing an enemy next attack cost -2 AP",,"Jusqu'à la fin du tour, après avoir tué un ennemi, la prochaine attaque coûte -2 PA.",,,,Эффект до конца хода: после убийства соперника следующая атака стоит на 2 ОД меньше.,,
PR_BC_AIMED_BURST,Text,,AIMED BURST,,RAFALE PRÉCISE,,,,ПРИЦЕЛЬНАЯ ОЧЕРЕДЬ,,
PR_BC_AIMED_BURST_DESC,Text,,Next shot with Assault Rifle uses double burst and gains +30% accuracy,,Le prochain tir avec le fusil d'assaut utilise une double rafale et gagne +30 % de précision,,,,Двойной выстрел из штурмовой винтовки с бонусом точности +30%,,
PR_BC_EXTREME_FOCUS,Text,,EXTREME FOCUS,,CONCENTRATION EXTRÊME,,,,ПРЕДЕЛЬНАЯ КОНЦЕНТРАЦИЯ,,
PR_BC_EXTREME_FOCUS_DESC,Text,,Overwatch cost is set to 1 Action Point for all weapons,,Le coût de vigilance est fixé à 1 point d'action pour toutes les armes.,,,,Режим наблюдения стоит 1 ОД для любого оружия,,
PR_BC_ARMOR_BREAK,Text,,ARMOR BREAK,,BRISE-ARMURE,,,,РАЗЛОМ БРОНИ,,
PR_BC_ARMOR_BREAK_DESC,Text,,"Gain +15 shred for the next attack with direct-fire projectile weapon, divided and rounded down by the amount of projectiles for burst weapons and shotguns.",,"Gagne +15 en déchiquettage pour la prochaine attaque avec une arme à projectile à tir direct (divisé et arrondi par le nombre de projectiles pour les armes à rafale et les fusils de chasse).",,,,,,
PR_BC_GUNSLINGER,Text,,GUNSLINGER,,BANDIT ARME,,,,СТРЕЛОК,,
PR_BC_GUNSLINGER_DESC,Text,,Shoot handgun 3 times at -50% accuracy. Uses AP cost of the weapon.,,Tire 3 fois avec une arme de poing avec une précision de -50 %. Utilise le coût en PA de l'arme.,,,,Три выстрела из пистолета со штрафом точности -50%. Использует ОД оружия.,,
PR_BC_KILL_ZONE,Text,,KILL ZONE,,ZONE DE MORT,,,,СМЕРТЕЛЬНАЯ ЗОНА,,
PR_BC_KILL_ZONE_DESC,Text,,When you take an Overwatch shot you fire twice at the target,,"Lorsque vous effectuez un tir de vigilance, vous tirez deux fois sur la cible.",,,,"Когда вы стреляете в режиме наблюдения, совершите два выстрела по цели",,
PR_BC_HUNKER_DOWN,Text,,HUNKER DOWN,,S'ACCROUPIR,,,,,,
PR_BC_HUNKER_DOWN_DESC,Text,,Gain 10 armor until your next turn. Ends turn. Your next attack cost -1 AP.,,Gagne 10 points d'armure jusqu'à votre prochain tour. Termine le tour. Votre prochaine attaque coûtera -1 PA.,,,,,,
PR_BC_HUNKER_DOWN_ARMOR_STATUS,Text,,HUNKER DOWN ARMOUR BUFF,,BUFF D'ARMURE - ACCROUPI,,,,,,
PR_BC_HUNKER_DOWN_ARMOR_STATUS_DESC,Text,,Added 10 Armour to each body part.,,Ajout de 10 points d'armure à chaque partie du corps.,,,,,,
PR_BC_HUNKER_DOWN_AP_STATUS,Text,,HUNKER DOWN ATTACK BOOST,,BOOST D'ATTAQUE - ACCROUPI,,,,,,
PR_BC_HUNKER_DOWN_AP_STATUS_DESC,Text,,Next attack with proficient weapon cost -1 AP.,,La prochaine attaque avec une arme maîtrisée coûte -1 PA.,,,,,,
PR_BC_SKIRMISHER,Text,,SKIRMISHER,,TIRAILLEUR,,,,НА ПЕРЕДОВОЙ,,
PR_BC_SKIRMISHER_DESC,Text,,If you take damage during enemy turn your attacks deal 25% more damage until end of turn,,"Si vous subissez des dégâts pendant le tour de l'ennemi, vos attaques infligent 25 % de dégâts supplémentaires jusqu'à la fin du tour.",,,,"При получении урона во время вражеского хода, получите +25% бонус урона на свой следующий ход",,
PR_BC_SHRED_RESISTANCE,Text,,SHRED RESISTANCE,,RÉSISTANCE PARE-BALLE,,,,УСИЛЕННАЯ БРОНЯ,,
PR_BC_SHRED_RESISTANCE_DESC,Text,,Shred Damage is reduced by half,,Les dégâts à l'armure sont réduits de moitié,,,,Урон от атак истончающих броню снижен вдвое,,
PR_BC_RAGE_BURST,Text,,RAGE BURST,,ENRAGÉ,,,,ЯРОСТНАЯ ОЧЕРЕДЬ,,
PR_BC_RAGE_BURST_DESC,Text,,Shoot 5 times across a wide arc with increased accuracy. Uses AP cost of the weapon.,,Tire 5 fois sur un arc large avec une précision accrue. Utilise le coût en PA de l'arme.,,,,Совершите 5 выстрелов по площади с повышенной точностью. Использует ОД оружия.,,
PR_BC_JETPACK_CONTROL,Text,,JETPACK CONTROL,,JETPACK CONTRÔLÉ,,,,КОНТРОЛЬ ТЯГИ,,
PR_BC_JETPACK_CONTROL_DESC,Text,,Jump to a location within 14 tiles. Limited to one use per turn,,Se propulse vers un emplacement dans les 14 cases. Limité à une utilisation par tour,,,,Совершите прыжок на 12 клеток (требуется реактивный ранец),,
PR_BC_BOOM_BLAST,Text,,BOOM BLAST,,EXPLOSION,,,,БОЛЬШОЙ БАБАХ,,
PR_BC_BOOM_BLAST_DESC,Text,,Until end of turn your Explosives gain +50% range. The AP cost of handheld Rocket and Grenade Launchers are reduced by 1.,,"Jusqu'à la fin du tour, vos explosifs gagnent +50% de portée. Le coût en PA des lance-roquettes et lance-grenades portables est réduit de 1.",,,,До конца хода дальность ваших атак взрывным оружие повышена на +50%. Использует ОД оружия. ОД ракетных установок и гранатометов снижены на 1.,,
PR_BC_ADRENALINE,Text,,ADRENALINE,,ADRÉNALINE,,,,АДРЕНАЛИН,,
