Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
KEY_AC_DEATHBELCH_DESCRIPTION,Text,,This Pandoran will spawn an Umbra version of itself if it dies,,Ce Pandorien engendrera une version Umbra de lui-même s'il meurt,,,,,,
KEY_AC_DEATHBELCH_NAME,Text,,Void Touched - Spawn Umbra on Death,,Touché par le Néant – Générer Umbra à la mort,,,,,,
TBTV_HIDDEN_ABILITY_NAME,Text,,Touched by the Void,,Touché par le Néant,,,,,,
TBTV_HIDDEN_ABILITY_DESCRIPTION,Text,,How we shiver with affright,,Nous frissonnons d'effroi,,,,,,
VOID_TOUCHED_TITLE,Text,,Touched by the Void,,Touché par le Néant,,,,,,
VOID_TOUCHED_TEXT,Text,,"<i>""A purple fume emanated from its body, marking it as the bearer of a Terrible Purpose.”</i>

This Pandoran is special. After it is attacked, it is very likely to gain a special ability (however, there is a small chance that it will be passed by the Void and lose its Touch, gaining nothing). At first, the only ability it may gain is to spawn an Umbra version of itself on death. However, as the Oneiric Delirium advances, Touched by the Void Pandorans will gain other effects when attacked for the first time.",,"<i>""Une fumée violette émanait de son corps, le marquant comme porteur d'un terrible dessein.""</i>

Ce Pandorien est spécial. Après avoir été attaqué, il est très probable qu'il acquière une capacité spéciale (cependant, il y a une petite chance qu'il passe par le Vide et perde son Toucher, sans rien gagner). Au début, la seule capacité qu'il peut acquérir est de générer une version Umbra de lui-même à sa mort. Cependant, à mesure que le Délirium onirique progresse, les Pandoriens touchés par le Vide bénéficieront d'autres effets lorsqu'ils seront attaqués pour la première fois.",,,,,,
TBTV_ON_ATTACK_TITLE,Text,,Void Touched - Attacker is Marked for Death,,Touché par le Néant - L'attaquant est 'Désigné pour mourir',,,,,,
TBTV_ON_ATTACK_TEXT,Text,,Any character that attacks this Pandoran will be afflicted by Marked for Death (no stacking),,Tout personnage qui attaque ce Pandorien sera affligé de 'Désigné pour mourir' (pas de cumul).,,,,,,
TBTV_ON_TURN_END_TITLE,Text,,Void Touched - Calls reinforcements at turn's end,,Touché par le Néant – Appelle des renforts à la fin du tour,,,,,,
TBTV_ON_TURN_END_TEXT,Text,,"If this Pandoran survives until the end of your turn, it will call reinforcements",,"Si ce Pandorien survit jusqu'à la fin de votre tour, il appellera des renforts",,,,,,
REVENANT_RESISTANCE_TITLE,Text,,Revenant resistance,,Résistance de Revenant,,,,,,
ACHERON_HARBINGER_NAME,Text,,Harbinger of the Void,,Précurseur du Néant,,,,,,
ACHERON_HARBINGER_DESCRIPTION,Text,,Increases the chances that an Arthron or a Triton will be Touched by the Void,,Augmente les chances qu'un Arthron ou un Triton soit touché par le Néant,,,,,,
ACHERON_TRIBUTARY_NAME,Text,,Tributary of the Void,,Affluent du Néant,,,,,,
ACHERON_TRIBUTARY_DESCRIPTION,Text,,All friendlies <b>of any type</b> within 10 tiles will be Touched by the Void if the character dies,,Tous les alliés <b>de tout type</b> dans un rayon de 10 cases seront touchés par le Néant si le personnage meurt.,,,,,,
VOID_BLIGHT_NAME,Text,,Blight of the Void,,Fléau du Néant,,,,,,
VOID_BLIGHT_DESCRIPTION,Text,not used,"This character or unit can be attacked by Umbra, regardless of Delirium",,"Ce personnage ou cette unité peut être attaqué par un Umbra, quel que soit son Délirium.",,,,,,
ANC_AUTOREPAIR_TITLE,Text,,Self repair,,Auto-réparation,,,,,,
