Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
UMBRA_SIGHTED_TITLE,Text,,Umbra!,,Ombre !,,,,,,
UMBRA_SIGHTED_TEXT,Text,,"<i>""They say an Umbra doesn't just kill you: it steals your soul""</i>

In TFTV, the Umbra can spawn in place of a dead Arthron or Triton with the <b>Touched by the Void</b> ability, which they have a chance to roll at the start of each complete turn. The chance to roll is the total amount of Delirium of all your operatives on the mission divided by two.

The Umbra can only attack characters with Delirium or characters in contact with the Mist, but they can be attacked by all characters.",,"<i>""On dit qu'une Ombre ne fait pas que vous tuer : elle vous vole votre âme.""</i>

Dans TFTV, l'Ombre apparaîtra à la place d'un Arthron ou d'un Triton avec la capacité <b>Touché par le Néant</b>, lorsque il meurt. Ils ont une chance au début de chaque tour complet, de faire un jet contre le montant total de Délirium de tous vos agents engagés sur la mission divisé par deux.

Les Ombres ne peuvent attaquer que les personnages atteints de Délirium, mais elles peuvent être attaquées par tous les personnages.",,,,,,
REVENANT_SIGHTED_TITLE,Text,,Revenant,,Revenant,,,,,,
REVENANT_SIGHTED_TEXT,Text,,"<i>""The Pandorans were somehow stealing our dead and splicing them into new monstrosities. We would recognize them in the field because of some small, inconsequential detail - an involuntary spasm, betraying a familiar gesture, a terrifying scream, bearing the echo of a beloved voice.""</i>

We should try capturing it.",,"<i>""Les Pandoriens volaient en quelque sorte nos morts et les transformaient en de nouvelles monstruosités. Nous les reconnaissions sur le terrain grâce à un petit détail sans importance - un spasme involontaire, trahissant un geste familier, un cri terrifiant, portant l'écho d'une voix aimée.""</i>

Nous devrions essayer de les capturer",,,,,,
VOID_TOUCHED_TITLE,Text,,Touched by the Void,,Touché par le Néant,,,,,,
VOID_TOUCHED_TEXT,Text,,"<i>""A purple fume emanated from its body, marking it as the bearer of a Terrible Purpose.”</i>

This Pandoran is special. After it is attacked, it is very likely to gain a special ability (however, there is a small chance that it will be passed by the Void and lose its Touch, gaining nothing). At first, the only ability it may gain is to spawn an Umbra version of itself on death. However, as the Oneiric Delirium advances, Touched by the Void Pandorans will gain other effects when attacked for the first time.",,"<i>""Une fumée violette émanait de son corps, le marquant comme porteur d'un terrible dessein.""</i>

Ce Pandoran est spécial. Après avoir été attaqué, il est très probable qu'il acquière une capacité spéciale (cependant, il y a une petite chance qu'il passe par le Néant et perde son Toucher, sans rien gagner). Au début, la seule capacité qu'il peut acquérir est de générer une version Umbra de lui-même à sa mort. Cependant, à mesure que le Délirium onirique progresse, les Pandoriens touchés par le Néant bénéficieront d'autres effets lorsqu'ils seront attaqués pour la première fois.",,,,,,
TBTV_ON_ATTACK_TITLE_HINT,Text,,Void Touched - Attacker is Marked for Death,,Touché par le Néant - L'attaquant est marqué pour la mort,,,,,,
TBTV_ON_ATTACK_TEXT_HINT,Text,,"<i>”There was the black plume, jetting from the crabbie’s head… I got the bastard, I thought… Next thing I know, they are all coming after me!""</i>

The Pandorans have learned a new trick. From now on, any Touched by the Void Arthron or Triton can either:

- Afflict its attacker with Marked for Death (all hits on the character do 10 extra damage)
- Spawn Umbra on death",,"<i>""Il y avait le panache noir qui jaillissait de la tête du crabbie... J'ai eu ce salaud, pensais-je... La prochaine chose que je sais, ils s'en prennent tous à moi !""</i>

Les Pandoriens renforcent leur apprentissage. Désormais, tout Arthron ou Triton touché par le Néant peut :

- Affliger à son attaquant 'Désigné pour mourir' (tous les coups sur le personnage font 10 dégâts supplémentaires)
- Générer un Umbra à sa mort",,,,,,
TBTV_ON_TURN_END_TITLE_HINT,Text,,Void Touched - Calls reinforcements at turn's end,,Touché par le Néant – Appelle des renforts à la fin du tour,,,,,,
TBTV_ON_TURN_END_TEXT_HINT,Text,,"<i>""Pandorans, they always have 'friends' nearby.""</i>

This Pandoran will call reinforcements if it <b>survives (in whatever shape)</b> until the end of your turn. From now on, any Touched by the Void Arthron or Triton can do one of the following:

- Call reinforcements at the end of player’s turn
- Afflict its attacker with Marked for Death (all hits on the character do 10 extra damage)
- Spawn Umbra on death",,"<i>""Les Pandoriens, ils ont toujours des 'amis' à proximité.""</i>

Ce Pandorien appellera des renforts s'il <b>survit (sous quelque forme que ce soit)</b> jusqu'à la fin de votre tour. À partir de maintenant, tout Arthron ou Triton touché par le Néant peut effectuer l'une des actions suivantes :

- Appeler des renforts à la fin du tour du joueur
- Affliger à son attaquant 'Désigné pour mourir' (tous les coups sur le personnage font 10 dégâts supplémentaires)
- Générer un Umbra à sa mort",,,,,,
