Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
TFTV_LORE_ALISTAIR_TITLE,Text,,Alistair Ashby,,Alistair Ashby,,,,,,
TFTV_LORE_ALISTAIR_DESCRIPTION,Text,,"Sometimes Alistair thought that the transformative effect of the Pandoravirus on him could not have been greater had he actually been infected with it.

Alistair went from a youthful college-dropout influencer to a bona fide expert, all by taking the first Mist stories seriously, while the rest of the media still considered them fake news. He grasped the significance of what was happening earlier and better than anyone else. He anticipated the Third World War and its consequences, including the rise of the highly polarized and ideologically charged factions, and the demise of race, wealth, nationality and family prestige as relevant sociological factors.

“We are mistaken about the coming Apocalypse. It’s not about extinction or survival. It’s about our place in the new food chain.”

The Pandoravirus also brought Alistair into contact with the child prodigy Olena Kim. They ran into each other more than two decades ago and have been inseparable ever since, to the extent that Alistair now considers himself her oppa (older brother).

The connection - if any - between Alistair and Phoenix Project remains a mystery, but it seems like he knew Randolph Symes III personally.",,"Parfois, Alistair pensait que l’effet transformateur du Pandoravirus sur lui n’aurait pas pu être plus important s’il en avait réellement été infecté.

Alistair est passé du statut de jeune influenceur ayant abandonné ses études à celui de véritable expert, tout cela en prenant au sérieux les premières histoires de Mist, alors que le reste des médias les considérait toujours comme de fausses nouvelles. Il a compris l’importance de ce qui se passait plus tôt et mieux que quiconque. Il a anticipé la Troisième Guerre mondiale et ses conséquences, notamment la montée de factions hautement polarisées et idéologiquement chargées, ainsi que la disparition de la race, de la richesse, de la nationalité et du prestige familial, comme facteurs sociologiques pertinents.

« Nous nous trompons sur l’Apocalypse à venir. Il ne s’agit pas d’extinction ou de survie. Il s’agit de notre place dans la nouvelle chaîne alimentaire.

Le Pandoravirus a également mis Alistair en contact avec l’enfant prodige Olena Kim. Ils se sont rencontrés il y a plus de vingt ans et sont depuis inséparables, à tel point qu'Alistair se considère désormais comme son oppa (frère aîné).

Le lien - le cas échéant - entre Alistair et Phoenix Project reste un mystère, mais il semble qu'il connaissait personnellement Randolph Symes III.",,,,,,
TFTV_LORE_OLENA_TITLE,Text,,Olena Kim,,Olena Kim,,,,,,
TFTV_LORE_OLENA_DESCRIPTION,Text,,"Olena was born in Odesa to a Korean father and a Ukrainian mother, both renowned scholars in archaeology and anthropology. They traveled around the world with their daughter, exposing her to different cultures and languages. A prodigy, Olena bears the imprint of a program for the gifted: an alien within her own species.

She lost her parents during the First Mist. When Alistair Ashby and his band of refugees found her, she was another shell shocked child. In time, he became her friend and confidant, one of the few people who understood her.

Olena never talks about her past unless asked directly. She prefers to focus on the present and future challenges. She is loyal to Alistair and respects his judgment, particularly as to people. She is curious about the various factions but wary of their intentions or agendas.",,"Olena est née à Odessa d'un père coréen et d'une mère ukrainienne, tous deux chercheurs renommés en archéologie et en anthropologie. Ils ont voyagé à travers le monde avec leur fille, l'exposant à différentes cultures et langues. Prodige, Olena porte l'empreinte d'un programme pour surdoués : une extraterrestre au sein de sa propre espèce.

Elle a perdu ses parents lors de la Première Brume. Quand Alistair Ashby et sa bande de réfugiés l'ont trouvée, elle était une autre enfant sous le choc. Avec le temps, il est devenu son ami et confident, l’une des rares personnes à la comprendre.

Olena ne parle jamais de son passé à moins qu'on lui demande directement. Elle préfère se concentrer sur les défis présents et futurs. Elle est fidèle à Alistair et respecte son jugement, notamment quant aux personnes. Elle est curieuse des différentes factions mais se méfie de leurs intentions ou de leurs programmes.",,,,,,
TFTV_LORE_HELENA_TITLE,Text,,Helena Lewandowski,,Hélène Lewandowski,,,,,,
TFTV_LORE_HELAN_DESCRIPTION,Text,,"Helena Lewandowski was born in Warsaw, Poland, in 1993. She had a passion for history and archaeology since she was a child, and pursued her studies at the University of Warsaw. She became one of the world’s leading experts on prehistoric cultures and civilizations, especially those that existed before the last ice age. 

In 2019, she joined Project Glory, a secretive attempt to study the nature of enigmatic ruins that predated Homo Sapiens. Project Glory was funded by the Phoenix Project and Vanadium Inc., and was led by Dr. Randolph Symes III, the director of the Phoenix Project at that time.

However, Dr. Symes did not share her enthusiasm or vision. Helena left Project Glory and joined Vanadium Inc., where she continued her research under the supervision of Tobias West, the CEO of Vanadium Inc. In 2022, when the Pandora virus began to spread across the globe, Helena uncovered evidence of an ancient civilization that had advanced technology and knowledge beyond anything known to modern humans. She contacted West and told him about her breakthrough.

However, West suddenly shut down Project Glory and ordered Helena to return to New Jericho’s headquarters. She was later transferred to a prison facility, where she remained until rescued by the Phoenix Project. ",,"Helena Lewandowski est née à Varsovie, en Pologne, en 1993. Passionnée d'histoire et d'archéologie depuis son enfance, elle a poursuivi ses études à l'Université de Varsovie. Elle est devenue l’une des plus grandes expertes mondiales en matière de cultures et de civilisations préhistoriques, en particulier celles qui existaient avant la dernière période glaciaire.

En 2019, elle rejoint le Projet Glory, une tentative secrète d'étudier la nature de ruines énigmatiques antérieures à Homo Sapiens. Le projet Glory a été financé par le projet Phoenix et Vanadium Inc. et était dirigé par le Dr Randolph Symes III, directeur du projet Phoenix à l'époque.

Cependant, le Dr Symes ne partageait ni son enthousiasme ni sa vision. Helena a quitté Project Glory et a rejoint Vanadium Inc., où elle a poursuivi ses recherches sous la supervision de Tobias West, PDG de Vanadium Inc. En 2022, lorsque le virus Pandora a commencé à se propager à travers le monde, Helena a découvert des preuves d'une ancienne civilisation qui possédait une technologie et des connaissances avancées au-delà de tout ce que connaissent les humains modernes. Elle a contacté West et lui a parlé de sa percée.

Cependant, West a soudainement arrêté le projet Glory et a ordonné à Helena de retourner au siège de New Jericho. Elle a ensuite été transférée dans un établissement pénitentiaire, où elle est restée jusqu'à ce qu'elle soit secourue par le projet Phoenix.",,,,,,
TFTV_LORE_BENNU_TITLE,Text,,Bennu,,Déterminer,,,,,,
TFTV_LORE_BENNU_DESCRIPTION,Text,,"The Phoenix Project relies on a number of Limited Artificial Intelligences: task oriented, non replicating software with limited growth potential devoid of internal personality modulators, aggregated under the namespace ""Bennu"". 

Bennu runs the life support on Phoenix bases, assists with research and manufacturing processes, and provides the Director Interface and other critical information, among many other crucial background tasks. They allow the Director maximum control in both strategic and tactical decisions. 

As a data processing unit, Bennu works to present all relevant information in the most succinct, understandable and engaging manner. Like this text here! Hope you enjoyed it!",,"Le projet Phoenix s'appuie sur un certain nombre d'intelligences artificielles limitées : des logiciels orientés tâches, non réplicatifs, avec un potentiel de croissance limité, dépourvus de modulateurs de personnalité internes, regroupés sous l'espace de noms ""Bennu"".

Bennu gère le système de survie sur les bases de Phoenix, participe aux processus de recherche et de fabrication et fournit l'interface du directeur et d'autres informations critiques, parmi de nombreuses autres tâches de fond cruciales. Ils permettent au directeur un contrôle maximal sur les décisions stratégiques et tactiques.

En tant qu'unité de traitement de données, Bennu s'efforce de présenter toutes les informations pertinentes de la manière la plus succincte, compréhensible et engageante. Aimez ce texte ici ! J'espère que vous en avez profité!",,,,,,
TFTV_TIP_GEOSCAPE_1,Text,,Accepting a Diplomacy mission from one faction will normally give you a large penalty with the other factions.,,Accepter une mission diplomatique d'une faction vous donnera normalement une grosse pénalité avec les autres factions.,,,,,,
TFTV_TIP_GEOSCAPE_2,Text,,"If you choose to postpone a Diplomacy mission, you will suffer a penalty with the offering faction, and be offered the mission again once you reach the required Diplomacy rating.",,"Si vous choisissez de reporter une mission diplomatique, vous subirez une pénalité auprès de la faction qui vous propose et la mission vous sera à nouveau proposée une fois que vous aurez atteint le niveau de diplomatie requis.",,,,,,
