Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
KEY_K2_MISSION_FLAVOUR_TEXT,Text,,DOWNLOAD IMPOSSIBLE WEAPONS RESEARCH,,TÉLÉCHARGER LA RECHERCHE SUR LES ARMES IMPOSSIBLES,,,,,,
BASEDEFENSE_INFESTATION_OBJECTIVE,Text,,DESTROY THE SPAWNERY AND THE SENTINELS,,DÉTRUISEZ L'ECLOSERIE ET LES SENTINELLES,,,,,,
BASEDEFENSE_SECOND_OBJECTIVE,Text,,"KILL REMAINING PANDORANS. EGGS, WORMS, MINDFRAGGERS, AND MYRMIDONS CAN BE LEFT FOR THE CLEANING DETAIL.",,"TUEZ LES PANDORIENS RESTANTS. LES OEUFS, LES VERS, LES CORRUPTEURS ET LES MYRMIDONS PEUVENT ÊTRE LAISSÉS.",,,,,,
BASEDEFENSE_SURVIVE5_OBJECTIVE,Text,,SURVIVE {0} TURNS,,SURVIVRE à {0} TOURS,,,,,,
BASEDEFENSE_SURVIVE_COMPLETE,Text,,SURVIVED THE ATTACK,,A SURVÉCU À L'ATTAQUE,,,,,,
BASEDEFENSE_SURVIVE3_OBJECTIVE,Text,,SURVIVE {0} TURNS,,SURVIVRE à {0} TOURS,,,,,,
BASEDEFENSE_SENTINEL_OBJECTIVE,Text,,DESTROY THE SENTINEL,,DÉTRUISEZ LA SENTINELLE,,,,,,
BASEDEFENSE_VENTING_PROMPT,Text,,"Activate Emergency Venting? This will stop the incoming wave of Pandoran reinforcements, but it will damage your power generator and cause random fires and explosions around the base!",,"Activer la ventilation d'urgence ? Cela arrêtera la vague entrante de renforts Pandoriens, mais cela endommagera votre générateur électrique et provoquera des incendies et des explosions aléatoires autour de la base !",,,,,,
CAPTURE_ABILITY_NAME,Text,,PRIORITY SKYHOOK EXTRACTION,,EXTRACTION PRIORITAIRE DE SKYHOOK,,,,,,
CAPTURE_ABILITY_DESCRIPTION,Text,,Marks the paralyzed Pandoran for priority extraction and capture at the end of the mission.,,Marque le Pandorien paralysé pour une extraction et une capture prioritaires à la fin de la mission.,,,,,,
CAPTURE_STATUS_NAME,Text,,PRIORITY FOR EXTRACTION AND CAPTURE,,PRIORITÉ À L'EXTRACTION ET À LA CAPTURE,,,,,,
CAPTURE_STATUS_DESCRIPTION,Text,,This Pandoran has been marked for priority extraction at the end of this mission; it will be extracted even if more valuable Pandorans have been paralyzed.,,Ce Pandorien a été marqué pour une extraction prioritaire à la fin de cette mission ; il sera extrait même si des Pandoriens plus précieux ont été paralysés.,,,,,,
CANCEL_CAPTURE_NAME,Text,,CANCEL PRIORITY SKYHOOK EXTRACTION,,ANNULER L'EXTRACTION PRIORITAIRE DE SKYHOOK,,,,,,
CANCEL_CAPTURE_DESCRIPTION,Text,,Removes this paralyzed Pandoran from priority list for extraction at the end of the mission.,,Supprime ce Pandorien paralysé de la liste des priorités pour extraction en fin de mission.,,,,,,
CAPTURE_CAPACITY_BASE,Text,,"FUNCTIONING CONTAINMENT FACILITY PRESENT, FULLY PARALYZED PANDORANS WILL BE CAPTURED",,"INSTALLATION DE CONFINEMENT FONCTIONNANTE PRÉSENTE, LES PANDORIENS ENTIÈREMENT PARALYSÉS SERONT CAPTURÉS",,,,,,
CAPTURE_CAPACITY_AIRCRAFT,Text,,CAPTURE SPACE REMAINING: ,, L'ESPACE RESTANT POUR LA CAPTURE :,,,,,,
CAPTURE_CAPACITY_TOTAL,Text,,TOTAL AVAILABLE CONTAINMENT:,,CONFINEMENT TOTAL DISPONIBLE :,,,,,,
KEY_OBJECTIVE_YUGG_EXALTED,Text,,MERGE THE EXALTED WITH THE INCAPACITATED YUGGOTHIAN RECEPTACLE,,FUSIONNER LES EXALÉS AVEC LE RÉCEPTACLE YUGGOTHIEN DÉSACTIVÉ,,,,,,
KEY_OBJECTIVE_YUGG_INJECTOR,Text,,DEPLOY THE INJECTOR OVER THE INCAPACITATED YUGGOTHIAN RECEPTACLE,,DÉPLOYER L'INJECTEUR SUR LE RÉCEPTACLE YUGGOTHIEN DÉSACTIVÉ,,,,,,
KEY_OBJECTIVE_YUGG_NUKE,Text,,DEPLOY THE BEACON OVER THE INCAPACITATED YUGGOTHIAN RECEPTACLE,,DÉPLOYEZ LA BALISE SUR LE RÉCEPTACLE YUGGOTHIEN DÉSACTIVÉ,,,,,,
KEY_OBJECTIVE_CONVINCE_SPARKS,Text,,APPROACH MR. SPARK AND CONVINCE HIM TO COME WITH YOU,,APPROCHEZ M. SPARK ET CONVAINCEZ-LE DE VENIR AVEC VOUS,,,,,,
KEY_OBJECTIVE_CONVINCE_FELIPE,Text,,APPROACH FELIPE AND CONVINCE HIM TO COME WITH YOU,,APPROCHEZ FELIPE ET CONVAINCEZ-LE DE VENIR AVEC VOUS,,,,,,
KEY_OBJECTIVE_CONVINCE_HELENA,Text,,APPROACH DR. HELENA AND CONVINCE HER TO COME WITH YOU,,APPROCHEZ DR. HELENA ET CONVAINQUEZ-LA DE VENIR AVEC VOUS,,,,,,
KEY_OBJECTIVE_CONVINCE_CALENDAR,Text,,APPROACH DR. KALINDAR AND CONVINCE HIM TO COME WITH YOU,,APPROCHEZ DR. KALINDAR ET CONVAINQUEZ-LE DE VENIR AVEC VOUS,,,,,,
PROTECT_THE_CYCLOPS,Text,,PROTECT THE CYCLOPS,,PROTÉGER LES CYCLOPES,,,,,,
KEY_BADLY_INJURED_OPERATIVE,Text,,BADLY INJURED,,SÉVEREMENT BLESSÉ,,,,,,
